"      PRINCIPAL EXPORTS: VOLUME, VALUE AND UNIT PRICES",,,,,,,,,,
,,,,,,,,,,
,,,Coffee,,,Tea,,,Horticulture,
,,,,,,,,,,
,,Volume,Value,Average,Volume,Value,Average,Volume,Value,Average
,,in,in,Shs per,in,in,Shs per,in,in,Shs per
Year,Month,Tonnes,Shs m,Tonne,Tonnes,Shs m,Tonne,Tonnes,Shs m,Tonne
1998,8,"2,759.82",500.47,"181,341.84","22,020.91","2,404.70","109,200.64","18,002.57",854.04,"47,440.12"
1998,9,"3,243.70",536.21,"165,306.90","22,651.29","2,564.06","113,197.02","30,602.80","1,446.75","47,275.08"
1998,10,"4,158.57",584.32,"140,509.65","21,915.84","2,450.01","111,791.78","29,433.70","1,659.82","56,391.98"
1998,11,"3,958.47",578.74,"146,201.87","21,317.36","2,295.48","107,681.27","13,216.28","1,295.53","98,025.09"
1998,12,"3,565.01",574.54,"161,159.68","20,153.53","2,129.77","105,677.52","11,577.62","1,491.47","128,823.37"
1999,1,"1,461.38",224.79,"153,821.31","21,531.31","2,393.41","111,159.52","6,599.12","1,346.01","203,967.76"
1999,2,"4,666.83",870.86,"186,607.20","25,656.90","3,031.58","118,158.38","19,822.57","1,568.71","79,137.78"
1999,3,"5,630.07","1,128.07","200,365.22","25,380.59","3,163.27","124,633.57","22,730.72","1,709.79","75,219.47"
1999,4,"4,932.45","1,167.70","236,738.13","25,819.07","2,424.77","93,913.84","23,646.74","1,588.03","67,156.50"
1999,5,"8,603.75","1,370.33","159,271.59","22,464.76","2,238.41","99,640.92","17,796.29","1,495.68","84,044.73"
1999,6,"8,292.40","1,632.20","196,831.24","22,517.86","3,066.05","136,161.03","14,709.41","1,374.75","93,460.69"
1999,7,"11,856.51","1,929.22","162,713.82","19,484.39","2,611.40","134,025.44","13,506.40","1,151.24","85,236.37"
1999,8,"7,723.55","1,170.25","151,516.54","19,413.51","2,614.35","134,666.55","10,261.80","1,005.65","97,999.72"
1999,9,"5,808.32",816.91,"140,644.50","19,374.87","2,790.98","144,051.42","9,251.60","1,023.69","110,649.84"
1999,10,"5,439.87",711.24,"130,745.69","16,860.35","2,641.59","156,674.69","12,295.47","1,347.56","109,597.70"
1999,11,"3,665.42",504.64,"137,675.80","20,867.43","3,100.78","148,594.12","10,451.68","1,236.66","118,321.49"
1999,12,"3,344.61",503.14,"150,432.28","20,806.37","2,988.48","143,633.05","10,008.86","1,260.02","125,890.08"
2000,1,"4,364.94",716.84,"164,227.27","21,040.07","2,991.45","142,178.76","8,636.03",980.15,"113,495.86"
2000,2,"3,956.92",654.54,"165,415.98","25,730.73","3,831.70","148,915.32","14,047.75","1,257.23","89,497.20"
2000,3,"6,062.81",997.48,"164,523.82","24,450.57","3,984.17","162,948.10","18,392.77","1,722.13","93,630.92"
2000,4,"7,539.47","1,225.07","162,487.73","14,247.02","2,372.87","166,552.14","13,881.62","1,502.92","108,266.78"
2000,5,"9,803.48","1,427.71","145,633.46","14,638.16","2,412.18","164,787.31","18,082.46","1,791.89","99,095.31"
2000,6,"9,084.05","1,351.25","148,749.18","17,341.59","2,875.88","165,836.95","17,386.60","1,857.97","106,862.33"
2000,7,"8,134.13","1,075.47","132,216.91","16,461.82","2,765.21","167,977.27","15,531.77","1,643.12","105,790.81"
2000,8,"9,052.19","1,054.07","116,444.04","18,013.52","2,997.57","166,406.66","14,123.84","1,448.00","102,521.67"
2000,9,"7,236.32",920.61,"127,221.24","13,309.18","2,261.20","169,897.81","11,245.72","1,266.82","112,648.91"
2000,10,"7,683.23",817.29,"106,373.00","16,627.01","2,781.28","167,274.53","13,100.94","1,958.69","149,507.26"
2000,11,"8,364.53",895.54,"107,064.19","18,536.61","3,127.01","168,693.73","11,636.96","1,941.27","166,819.04"
2000,12,"5,700.15",571.23,"100,212.49","16,885.43","2,749.39","162,826.04","13,930.67","2,075.64","148,997.98"
2001,1,"6,317.40",660.64,"104,575.11","21,798.40","3,380.77","155,092.72","13,549.08","1,966.35","145,127.99"
2001,2,"6,011.69",590.22,"98,178.78","23,268.99","3,414.35","146,733.82","18,551.49","2,289.02","123,387.25"
2001,3,"6,197.87",716.19,"115,554.43","25,577.21","3,728.86","145,788.37","20,182.70","2,310.96","114,502.15"
2001,4,"5,506.52",737.48,"133,928.82","17,810.05","2,405.33","135,054.39","16,600.36","2,055.86","123,844.02"
2001,5,"6,563.44",917.57,"139,799.67","23,285.54","2,981.99","128,061.81","18,195.46","2,095.17","115,147.72"
2001,6,"6,187.65",839.7,"135,705.66","26,303.03","3,373.65","128,260.95","9,728.64","1,453.56","149,410.68"
2001,7,"5,495.83",596.68,"108,568.81","25,342.55","3,301.85","130,288.77","9,510.67","1,308.70","137,603.85"
2001,8,"5,121.00",611.08,"119,328.59","24,233.72","2,751.03","113,520.61","9,342.01","1,687.44","180,629.14"
2001,9,"3,436.25",446,"129,793.73","24,094.05","1,869.91","77,608.95","7,854.77",815.32,"103,799.53"
2001,10,"4,140.61",483.52,"116,775.21","19,674.17","2,445.14","124,281.79","6,269.95",896.05,"142,912.21"
2001,11,"3,905.26",482.98,"123,675.29","21,526.49","2,613.56","121,411.28","9,905.20","1,731.42","174,799.25"
2001,12,"2,195.50",233.15,"106,195.07","15,551.47","1,886.53","121,308.90","14,878.87","1,842.43","123,828.93"
2002,1,"2,659.61",341.36,"128,349.09","29,119.84","3,611.47","124,021.10","12,699.78","1,834.97","144,488.50"
2002,2,"2,433.27",381.57,"156,812.53","24,438.35","3,074.16","125,792.49","13,386.86","1,899.63","141,902.84"
2002,3,"3,928.49",592.33,"150,777.36","25,297.11","3,365.66","133,045.37","13,743.81","1,915.58","139,377.40"
2002,4,"6,219.56","1,071.17","172,225.38","19,927.14","2,556.60","128,297.61","16,204.08","1,996.98","123,239.15"
2002,5,"5,999.89",862.98,"143,832.62","23,996.07","2,974.37","123,952.27","10,627.61","1,647.21","154,993.65"
2002,6,"4,235.43",592.41,"139,869.36","21,644.30","2,646.39","122,267.13","10,147.71","1,376.33","135,629.74"
2002,7,"5,518.61",756.66,"137,111.45","28,525.46","3,527.70","123,668.65","9,722.47","1,482.13","152,443.37"
2002,8,"4,042.17",495.26,"122,523.94","23,984.88","2,895.73","120,731.30","9,122.40","1,098.69","120,439.11"
2002,9,"3,985.18",458.41,"115,027.37","19,194.49","2,476.71","129,032.42","16,592.20","1,754.62","105,749.85"
2002,10,"3,845.80",351.85,"91,489.02","20,350.68","2,527.26","124,185.79","12,815.75","1,634.58","127,544.64"
2002,11,"2,895.47",315.4,"108,928.93","20,984.36","2,739.31","130,540.48","12,341.90","1,949.48","157,955.84"
2002,12,"3,715.83",380.28,"102,340.32","15,243.83","1,981.05","129,957.24","11,650.46","1,700.32","145,944.24"
2003,1,"3,216.69",396.8,"123,355.40","24,801.70","3,191.09","128,664.35","15,594.46","2,043.96","131,069.50"
2003,2,"4,479.67",536.63,"119,791.45","22,304.13","2,774.94","124,413.54","21,917.41","2,541.53","115,959.20"
2003,3,"5,852.29",680,"116,193.83","27,344.60","3,352.12","122,588.07","18,220.60","2,498.00","137,097.57"
2003,4,"5,243.81",634.55,"121,009.92","24,637.16","3,085.24","125,227.18","20,159.45","2,383.41","118,227.81"
2003,5,"5,755.46",730.71,"126,959.13","18,556.61","2,183.55","117,669.45","12,326.94","1,910.96","155,022.92"
2003,6,"6,926.13",794.82,"114,756.92","22,649.24","2,718.61","120,030.93","14,295.21","1,758.60","123,020.00"
2003,7,"5,006.65",538.43,"107,543.50","25,029.28","3,024.83","120,851.56","10,827.46","1,660.60","153,369.38"
2003,8,"5,235.91",540.82,"103,290.14","16,180.21","2,012.68","124,391.43","10,678.65","1,616.75","151,399.83"
2003,9,"4,697.81",458.3,"97,556.98","19,441.24","2,523.86","129,819.89","14,224.52","2,440.95","171,601.47"
2003,10,"4,474.80",383.57,"85,717.48","22,678.36","3,048.25","134,412.08","14,166.80","2,560.37","180,730.61"
2003,11,"3,028.60",265.24,"87,576.97","21,067.55","2,836.02","134,615.63","12,850.74","2,566.28","199,698.70"
2003,12,"4,732.64",130.21,"27,512.77","17,484.88","2,280.87","130,447.98","16,317.45","2,682.55","164,397.49"
