DIRECT IMPORTS: BY S.I.T.C. * SECTIONS,,,,,,,,,,,
      (shillings million),,,,,,,,,,,
Year,Month, Food  and Live Animals, Beverages and Tobacco,Crude Materials Inedible except Fuels,Mineral Fuels Lubricants and related Materials,Animals and Vegetable Oils and Fats,  Chemicals  ,Manufactured Goods Classified Chiefly by Materials,Machinery and Transport Equipment ,  Other  ,  TOTAL  
,,,,,,,,,,,
1998,8,"1,413.87",52.95,569.55,"1,927.76",688.28,"3,419.51","1,926.50","4,481.30","1,041.30","15,521.02"
1998,9,533.13,103.94,575.12,"2,942.74","1,300.06","2,450.35","2,070.79","5,810.22",992.39,"16,778.75"
1998,10,586.56,66.22,504.11,"3,083.62",919.35,"2,096.88","2,565.87","6,039.03","1,308.44","17,170.07"
1998,11,522.81,103.4,511.7,"1,407.03",931.28,"2,217.73","2,288.93","4,628.01","1,207.83","13,818.73"
1998,12,717.97,104.84,612.32,"4,597.77","1,692.68","2,021.25","2,015.47","5,043.44","1,240.22","18,045.94"
1999,1,587.64,74.6,373.06,"1,313.03",882.06,"2,563.91","2,453.64","4,137.72","1,067.24","13,452.90"
1999,2,"1,804.62",66.79,424.76,991.26,516.47,"2,921.18","2,277.94","7,365.91",952.71,"17,321.64"
1999,3,"1,378.93",67.19,525.6,"2,578.50","1,154.72","2,794.36","2,125.79","5,943.61","1,416.78","17,985.49"
1999,4,916.38,71.33,421.92,"2,785.98",889.42,"2,897.00","2,143.00","4,580.79","1,033.11","15,738.93"
1999,5,933.47,43.78,462.75,"2,055.29","1,071.80","2,386.49","2,157.41","4,395.83","1,275.92","14,782.75"
1999,6,"1,254.34",43.97,559.6,"1,566.70",944.08,"2,080.47","2,540.04","4,022.15","1,132.11","14,143.45"
1999,7,"1,388.86",90.83,456.01,"1,367.77",583.08,"2,390.29","2,425.84","5,540.87","1,714.27","15,957.82"
1999,8,884.02,67.54,544.25,"3,044.97",306.49,"2,519.28","2,232.05","4,736.81","1,059.10","15,394.51"
1999,9,"1,539.85",83.2,558.36,"2,947.38",482.02,"2,702.69","2,662.12","4,927.17","1,516.52","17,419.32"
1999,10,608.62,68.94,389.58,"1,843.22",708.23,"2,973.23","2,241.86","4,253.40",891.28,"13,978.36"
1999,11,702.34,146.7,632.74,"5,390.88",895.8,"3,235.84","2,608.02","4,804.83","2,364.29","20,781.46"
1999,12,"1,093.58",110.67,440.34,"4,032.88",760.36,"2,523.79","2,311.01","4,863.22","1,379.02","17,514.86"
2000,1,"1,211.08",152.84,606.03,"5,834.20",576.89,"2,558.89","2,029.27","3,513.16",714.84,"17,197.20"
2000,2,"1,039.49",75.93,466.57,"3,996.62",308.28,"2,358.48","2,137.78","4,810.79","1,166.20","16,360.15"
2000,3,"1,325.24",93.87,599.02,"6,835.36",846.07,"3,683.49","2,200.81","5,051.12",906.48,"21,541.46"
2000,4,"1,470.38",55.02,478.66,"3,824.75",337.35,"2,834.18","1,965.02","3,722.81",984.63,"15,672.79"
2000,5,906.92,107.7,730.73,"3,543.91",737.97,"3,119.97","2,689.16","7,662.34","1,376.00","20,874.72"
2000,6,"1,112.88",83.81,489.7,"3,731.62",758.87,"2,443.32","2,420.65","7,676.74","1,153.33","19,870.91"
2000,7,"1,930.23",37.24,395.49,"5,662.40",727.61,"1,959.44","1,990.79","9,670.56",978.28,"23,352.04"
2000,8,"2,651.30",193.52,555.53,"6,628.70",212.33,"2,991.54","2,641.62","7,661.66",974.3,"24,510.50"
2000,9,"2,769.58",72.98,509.54,"5,208.74","1,554.79","3,042.58","2,463.94","4,672.31",950.84,"21,245.30"
2000,10,"3,089.86",88.45,445.56,"7,793.22",144.55,"2,850.33","2,474.01","5,200.04","1,041.63","23,127.67"
2000,11,"1,727.02",194.84,630.98,"8,556.33",538.38,"2,563.59","2,435.42","8,354.90","1,515.68","26,517.15"
2000,12,"2,098.59",234.8,456.23,"3,240.00","1,272.73","2,390.90","2,113.92","4,134.93","1,591.90","17,534.00"
2001,1,"2,350.85",162.26,620.92,"2,857.97",567.6,"3,334.15","2,962.21","6,492.41","1,392.35","20,740.73"
2001,2,"2,247.97",106.82,579.87,"5,373.18","1,160.42","2,349.51","2,286.03","5,148.10","1,340.39","20,592.29"
2001,3,"2,423.85",125.85,622.52,"5,698.76",425.69,"3,791.70","3,468.78","5,327.86","1,498.92","23,383.92"
2001,4,"1,571.76",86.8,643.14,"8,239.89",535.24,"3,299.77","2,753.18","4,501.20","1,014.87","22,645.84"
2001,5,"1,341.26",110.69,648.37,"5,382.50",654.4,"3,000.51","3,450.08","12,603.39","1,016.10","28,207.31"
2001,6,"2,395.24",68.74,506.19,"4,757.02",539.17,"3,151.19","2,698.07","14,368.29",965.58,"29,449.49"
2001,7,"1,537.54",54.69,565.87,"4,633.91","1,121.49","3,439.68","3,101.42","13,300.15","1,222.81","28,977.57"
2001,8,"2,966.06",104.02,662.06,"4,552.13",307.15,"3,406.86","3,347.65","4,948.24","1,538.67","21,832.85"
2001,9,"2,319.67",46.17,506.47,"4,804.80","1,021.27","2,520.65","2,445.78","8,615.04","1,048.53","23,328.38"
2001,10,"2,953.45",296.66,"1,374.05","4,497.48","1,342.33","3,542.12","3,111.24","6,448.56","1,482.46","25,048.34"
2001,11,"1,408.26",191.04,565.34,"3,677.81",760.09,"3,310.85","2,590.24","5,453.37","1,288.59","19,245.59"
2001,12,"2,106.40",168.73,692.99,"2,078.52","1,124.94","2,494.06","2,134.47","4,173.87","1,034.97","16,008.94"
2002,1,"1,265.27",126.11,531.57,"3,969.51","1,207.66","4,287.14","2,625.40","18,373.09","1,175.83","33,561.57"
2002,2,"1,194.85",86.23,452.16,"1,098.10","1,131.04","3,175.21","2,246.11","3,628.32",886.61,"13,898.65"
2002,3,"1,403.40",157.7,545.61,"4,203.68","1,801.78","3,151.35","2,953.24","7,103.65",873.31,"22,193.73"
2002,4,527.12,115.84,529.25,"4,873.07",932.29,"2,734.42","2,147.75","4,969.60","1,310.28","18,139.62"
2002,5,"1,105.27",116.15,578.06,"5,187.92",921.02,"3,964.90","3,009.50","4,916.78","1,260.87","21,060.46"
2002,6,"2,272.57",79.14,517.9,"3,077.72",786.38,"3,161.07","2,607.55","7,783.54",981.26,"21,267.15"
2002,7,973.9,264.94,642.78,"4,502.71",913.19,"3,511.56","2,794.85","5,849.69","1,461.53","20,915.15"
2002,8,"1,432.07",498.73,570.52,"3,877.57","1,216.06","3,321.08","2,454.63","4,556.08","1,216.89","19,143.62"
2002,9,"1,287.41",93.84,484.26,"4,853.22","1,077.21","2,650.25","3,121.09","4,501.68","1,389.41","19,458.36"
2002,10,864.25,184.64,571.09,"3,882.42","1,462.11","3,365.63","3,394.85","7,162.04","1,563.83","22,450.86"
2002,11,"1,297.93",351.92,495.44,"3,340.14","1,519.08","3,425.62","2,557.85","6,127.99","1,894.99","21,010.96"
2002,12,"1,191.85",121.31,448.85,"2,917.87","1,364.77","3,267.69","3,241.92","8,545.90","1,473.45","22,573.61"
2003,1,"2,166.75",359.9,626,"5,806.67","1,348.35","4,103.25","3,343.58","5,229.31","1,335.98","24,319.81"
2003,2,"1,463.30",125.14,582.1,"6,663.32","1,365.70","3,687.75","3,115.95","5,167.18",943.86,"23,114.30"
2003,3,"1,313.75",184.25,584.49,"5,604.23","1,111.79","3,686.31","2,663.93","5,027.08","1,233.78","21,409.61"
2003,4,"1,579.37",102.33,653.79,"3,934.40","1,122.17","3,437.25","2,683.18","6,981.20","1,287.06","21,780.75"
2003,5,"2,162.69",84.45,625.45,"6,336.77",973.66,"3,163.41","3,569.92","4,724.29","1,453.47","23,094.11"
2003,6,"1,316.09",96.56,588.16,"5,357.64","1,328.48","3,064.77","2,662.70","10,418.48","1,038.16","25,871.03"
2003,7,"2,329.30",118.16,500.3,"7,194.74","1,177.25","4,545.91","3,390.54","5,806.21","1,406.98","26,469.39"
2003,8,"1,537.98",104.46,481.01,"5,271.08",807.18,"4,130.48","2,937.13","4,366.60","1,194.00","20,829.93"
2003,9,888.97,84.72,546.47,"5,554.40",610.69,"3,160.37","3,545.44","6,747.35","1,217.04","22,355.45"
2003,10,"1,739.47",79.43,665.79,"5,862.58","1,024.44","4,605.31","3,384.39","6,317.13","1,562.74","25,241.28"
2003,11,"1,565.00",121.16,506.49,"2,784.92","1,166.84","3,263.66","2,979.47","6,126.88","2,838.38","21,352.80"
2003,12,"1,267.06",166.63,579.33,"6,243.36","1,295.75","4,038.72","3,449.48","6,584.08","2,360.94","25,985.36"
2004,1,"1,266.16",113.07,569.61,"6,706.81","1,475.12","3,896.66","4,161.00","5,801.42","1,548.51","25,538.35"
2004,2,"2,132.19",134.12,510.56,"5,845.72","1,220.88","4,060.77","3,831.29","6,573.64","1,258.44","25,567.60"
2004,3,"2,383.45",159.89,743.27,"8,628.51","1,047.60","4,240.68","4,229.80","6,759.42","1,582.50","29,775.11"
2004,4,"3,145.08",101,621.01,"5,376.02",188.92,"5,248.60","3,814.72","9,681.81","1,207.87","29,385.02"
2004,5,927.37,114.25,758.15,"6,836.00",97.42,"4,852.31","4,719.62","5,720.24","1,406.72","25,432.09"
