      DOMESTIC EXPORTS: SELECTED COMMODITIES ,,,,,,,,,,
      (Shillings million),,,,,,,,,,
,,,,,,,,,,
Year,Month,Coffee ,Tea,Petroleum,Chemicals,Fish,Horticulture,Cement,Other,Total
,,,,Products,,,,,,
,,,,,,,,,,
1998,8,500.47,"2,404.70",850.6,695.15,183.19,854.04,117.68,"3,543.33","9,149.16"
1998,9,536.21,"2,564.06",848.42,606.82,204.02,"1,446.75",99.66,"3,555.47","9,861.40"
1998,10,584.32,"2,450.01",896.47,587.63,306.09,"1,659.82",136.22,"2,690.39","9,310.95"
1998,11,578.74,"2,295.48",784.25,890.2,235.66,"1,295.53",96.46,"2,457.39","8,633.71"
1998,12,574.54,"2,129.77",799.11,724.44,81.92,"1,491.47",111.75,"3,166.33","9,079.32"
1999,1,224.79,"2,393.41",889.15,493.2,258.26,"1,346.01",90.15,"2,760.98","8,455.96"
1999,2,870.86,"3,031.58",891.38,776.88,157.44,"1,568.71",100.6,"2,807.92","10,205.38"
1999,3,"1,128.07","3,163.27","1,006.31",752.43,249.43,"1,709.79",84.26,"3,277.07","11,370.64"
1999,4,"1,167.70","2,424.77","1,020.05",521.15,81.4,"1,588.03",74.37,"2,882.82","9,760.29"
1999,5,"1,370.33","2,238.41",947.83,557.53,158.69,"1,495.68",140.5,"2,626.05","9,535.02"
1999,6,"1,632.20","3,066.05",994.34,656.49,221.94,"1,374.75",87.7,"3,424.71","11,458.19"
1999,7,"1,929.22","2,611.40",749.9,698.24,184.03,"1,151.24",142.29,"2,481.35","9,947.67"
1999,8,"1,170.25","2,614.35",780.11,546.83,182.03,"1,005.65",126.57,"2,543.35","8,969.13"
1999,9,816.91,"2,790.98",730.15,643.14,196.61,"1,023.69",94.11,"2,950.02","9,245.61"
1999,10,711.24,"2,641.59",591.91,581.85,181.48,"1,347.56",105.25,"2,532.62","8,693.49"
1999,11,504.64,"3,100.78",500.48,614,191.67,"1,236.66",93.57,"2,710.88","8,952.68"
1999,12,503.14,"2,988.48",453.52,564.49,200.18,"1,260.02",108.55,"2,733.85","8,812.23"
2000,1,716.84,"2,991.45",584.39,362.31,165.06,980.15,78.84,"2,298.96","8,178.01"
2000,2,654.54,"3,831.70",612.57,552.84,173.13,"1,257.23",112.36,"2,758.17","9,952.54"
2000,3,997.48,"3,984.17",405.63,516.96,249.37,"1,722.13",132.97,"2,972.85","10,981.56"
2000,4,"1,225.07","2,372.87",542.13,411.93,157.11,"1,502.92",66.15,"2,165.24","8,443.42"
2000,5,"1,427.71","2,412.18",790.89,"1,619.65",238.81,"1,791.89",13.18,"3,201.68","11,496.00"
2000,6,"1,351.25","2,875.88",633.61,629.34,276.98,"1,857.97",120.77,"3,132.64","10,878.43"
2000,7,"1,075.47","2,765.21",723.01,444.67,257.46,"1,643.12",122.58,"2,653.18","9,684.69"
2000,8,"1,054.07","2,997.57","1,304.21",448.66,208.15,"1,448.00",192.23,"2,675.93","10,328.83"
2000,9,920.61,"2,261.20","1,293.33",394.32,385.22,"1,266.82",50.67,"2,534.24","9,106.42"
2000,10,817.29,"2,781.28","1,446.74",359.56,295.15,"1,958.69",144.7,"2,801.22","10,604.61"
2000,11,895.54,"3,127.01",646.12,544.36,245.47,"1,941.27",93.54,"3,254.65","10,747.97"
2000,12,571.23,"2,749.39",659.24,428.17,301.04,"2,075.64",108.65,"2,467.86","9,361.22"
2001,1,660.64,"3,380.77","1,906.69",505.52,210.53,"1,966.35",72.31,"3,206.47","11,909.29"
2001,2,590.22,"3,414.35","1,493.95",502.99,148.49,"2,289.02",68.45,"3,175.33","11,682.79"
2001,3,716.19,"3,728.86","1,650.26",506.74,196.25,"2,310.96",49.62,"3,245.96","12,404.83"
2001,4,737.48,"2,405.33",697.86,402.23,231.86,"2,055.86",92.03,"2,951.37","9,574.02"
2001,5,917.57,"2,981.99",808.06,616.33,443.45,"2,095.17",108,"3,215.61","11,186.16"
2001,6,839.7,"3,373.65",770.13,503.91,350.39,"1,453.56",82.48,"3,598.08","10,971.91"
2001,7,596.68,"3,301.85","1,096.19",501.64,381.14,"1,308.70",122.48,"3,766.70","11,075.39"
2001,8,611.08,"2,751.03",997.4,592.33,361.83,"1,687.44",84.99,"3,534.39","10,620.48"
2001,9,446,"1,869.91","1,239.60",517,317.49,815.32,94.43,"3,229.48","8,529.24"
2001,10,483.52,"2,445.14","1,134.70",633.53,337.58,896.05,84.13,"3,707.17","9,721.82"
2001,11,482.98,"2,613.56",903.3,620.36,436.5,"1,731.42",83.07,"3,767.72","10,638.91"
2001,12,233.15,"1,886.53",969.36,407.43,386.61,"1,842.43",75.1,"3,304.26","9,104.87"
2002,1,341.36,"3,611.47",941.58,544.66,396.88,"1,834.97",72.42,"4,556.56","12,299.91"
2002,2,381.57,"3,074.16",337.66,540.16,292.83,"1,899.63",80,"4,019.72","10,625.73"
2002,3,592.33,"3,365.66",404.05,441.04,291.52,"1,915.58",96.85,"3,216.55","10,323.57"
2002,4,"1,071.17","2,556.60",399.12,514.23,257.67,"1,996.98",102.75,"4,616.93","11,515.45"
2002,5,862.98,"2,974.37",298.65,725.99,402.85,"1,647.21",118.05,"5,157.51","12,187.61"
2002,6,592.41,"2,646.39",231.12,639.49,253.47,"1,376.33",111.35,"4,565.69","10,416.23"
2002,7,756.66,"3,527.70",555.89,563.25,391.17,"1,482.13",124.05,"4,114.99","11,515.84"
2002,8,495.26,"2,895.73",248.43,522.5,421.11,"1,098.69",172.59,"4,827.78","10,682.09"
2002,9,458.41,"2,476.71",200.22,489.95,306.09,"1,754.62",235.56,"4,721.78","10,643.34"
2002,10,351.85,"2,527.26",359.35,544.17,405.44,"1,634.58",182.63,"5,128.56","11,133.82"
2002,11,315.4,"2,739.31",192.47,587.07,503.7,"1,949.48",110.77,"4,289.29","10,687.47"
2002,12,380.28,"1,981.05",11.75,401.06,282.02,"1,700.32",71.8,"4,519.89","9,348.17"
2003,1,396.8,"3,191.09",21.24,525.14,325.97,"2,043.96",173.15,"5,864.62","12,541.97"
2003,2,536.63,"2,774.94",47.5,"1,027.41",244.2,"2,541.53",122.72,"5,799.52","13,094.44"
2003,3,680,"3,352.12",27.01,470.76,317.81,"2,498.00",122,"4,892.03","12,359.74"
