 EXPORTS: SELECTED COUNTRIES OF DESTINATION (AFRICAN),,,,,,,,,,,,,
(Shillings million),,,,,,,,,,,,,
Year ,Month,UGANDA,TANZANIA,ZAMBIA,EGYPT,RWANDA,ZIMBABWE,ETHIOPIA,SOMALIA,South AFRICA,DRC,Other,Total
1998,1,"1,386.42","1,326.01",11.69,409.95,334.56,25.13,106.54,159.98,95.31,215.26,328.47,"4,399.30"
1998,2,"1,204.81","1,205.57",8.84,439.67,272.99,25.7,101.52,97.38,52.37,209.52,391.01,"4,009.36"
1998,3,"1,478.77","1,131.00",15.98,707.57,140.53,63.62,171.8,172.05,57.29,168.97,482.55,"4,590.12"
1998,4,"1,629.02","1,150.12",13,611.42,177.35,50.85,134.76,100.37,248.09,216.44,449.71,"4,781.12"
1998,5,"1,466.80","1,266.80",10.73,540.72,150.06,38.18,105.32,175.96,64.15,175.07,509.43,"4,503.22"
1998,6,"1,792.14","1,447.20",27.41,320.37,250.42,77.65,113.95,149.61,76.07,246.02,501.71,"5,002.55"
1998,7,"1,916.17","1,297.46",44.77,350.85,351.62,103.41,162.8,106.94,60.84,170.2,687.16,"5,252.23"
1998,8,"1,784.96","1,575.85",17.77,437.89,246.59,47.07,141.09,183.58,55.8,111.56,549,"5,151.16"
1998,9,"1,808.84","1,534.21",18.87,410.16,326,71.13,119.05,194.79,83.25,86.32,510.77,"5,163.40"
1998,10,"1,728.80","1,390.39",13.43,519.63,278.51,31.43,107.17,132.1,43.32,102.18,531.12,"4,878.08"
1998,11,"1,491.65","1,353.36",11.01,396.69,215.53,4.53,120.14,157.18,64.06,130.99,458.72,"4,403.87"
1998,12,"1,758.07","1,461.30",35.01,548.73,297.3,5.45,154.19,213.56,42.46,179.74,457.85,"5,153.67"
1999,1,"1,784.48","1,222.07",10.79,450.74,235.28,8.01,101.98,137.22,20.93,162.66,359.35,"4,493.52"
1999,2,"1,799.63","1,192.18",13.62,597.5,299.96,30.66,135.25,157.65,30.07,147.77,506.26,"4,910.55"
1999,3,"1,915.06","1,348.24",13.35,654.13,259.01,25.3,116.67,231.78,30.09,214.74,613.23,"5,421.59"
1999,4,"1,712.47","1,022.88",8.74,600.42,269.62,25.18,92.43,179.57,33.52,196.95,624.71,"4,766.49"
1999,5,"1,746.04","1,042.46",13.08,549.11,225.94,6.81,93.85,191.55,52.11,156.81,417.1,"4,494.86"
1999,6,"1,869.14","1,227.22",16.24,994.33,260.88,20.86,166.78,419.99,65.58,144.49,487.55,"5,673.04"
1999,7,"1,744.81","1,063.72",7.21,481.67,254.56,21.72,104.07,206.82,50.96,119.75,465,"4,520.29"
1999,8,"1,595.86","1,033.84",14.39,412.23,226.98,30.22,145.87,101.65,37.15,146.36,394.6,"4,139.14"
1999,9,"1,784.31","1,307.73",16.13,555.24,315.35,41.74,138.41,146.49,47.93,216.23,478.76,"5,048.32"
1999,10,"1,731.52","1,117.56",10.71,438.19,242.37,47.49,139.85,98.75,27.72,178.23,457.85,"4,490.25"
1999,11,"1,801.27","1,134.24",8.41,559.72,246.5,41.43,91.02,96.67,46.66,181.22,514.44,"4,721.56"
1999,12,"1,714.05","1,063.45",1.2,445.88,273.41,21.95,86.19,83.37,34.76,165.81,527.32,"4,417.39"
2000,1,"1,677.75",833.97,1.38,965.55,132.05,16.17,112.71,84.69,40.58,151.52,409.18,"4,425.54"
2000,2,"1,707.76",881.7,15.58,60.25,214.73,24.45,167.88,102.34,39.93,165.66,525.48,"3,905.76"
2000,3,"1,822.91",901.61,24.96,"1,045.01",161.09,28.26,239.05,110.53,69,228.26,601.16,"5,231.83"
