EXPORTS: SELECTED COUNTRIES OF DESTINATION,,,,,,,,,,,,,
(shillings million),,,,,,,,,,,,,
Year,Month,U.K,GERMANY,U.S.A,NETHERLANDS,UGANDA,TANZANIA,PAKISTAN,FRANCE,EGYPT,BELGIUM,OTHERS,TOTAL
1998,1,"1,420.32",265.96,260.76,455.95,"1,386.42","1,326.01",683.43,138,409.95,104.89,"3,072.64","9,524.32"
1998,2,"1,465.24",243.29,354.02,449.71,"1,204.81","1,205.57",843.48,236.68,439.67,138.76,"3,062.51","9,643.73"
1998,3,"1,570.50",471.28,453.76,499.48,"1,478.77","1,131.00",683.93,143.62,707.57,112.81,"3,259.61","10,512.33"
1998,4,"1,372.71",634.06,227.52,538.16,"1,629.02","1,150.12",661,144.38,611.42,262.89,"3,744.36","10,975.63"
1998,5,"1,721.72",749.17,362.74,454.43,"1,466.80","1,266.80",488.86,185.09,540.72,133.73,"3,716.71","11,086.79"
1998,6,"1,653.09",788.15,284.26,400.1,"1,792.14","1,447.20",879.69,136.97,320.37,308.72,"3,625.88","11,636.55"
1998,7,"1,252.23",701.66,279.28,297.11,"1,916.17","1,297.46",745.46,86.77,350.85,62.49,"3,302.74","10,292.21"
1998,8,952.29,305.91,144.3,233.68,"1,784.96","1,575.85",714.91,106.02,437.89,97.85,"2,795.49","9,149.16"
1998,9,"1,010.36",309.01,193.59,358.32,"1,808.84","1,534.21",858.5,159.65,410.16,95.97,"3,122.78","9,861.40"
1998,10,"1,268.13",329.36,157.88,509.9,"1,728.80","1,390.39",642.08,217.96,519.63,137.43,"2,982.03","9,883.61"
1998,11,"1,361.08",395.13,201.75,476.02,"1,491.65","1,353.36",586.08,138.15,396.69,148.32,"2,540.66","9,088.89"
1998,12,"1,179.62",355.74,189.25,591.61,"1,758.07","1,461.30",497.12,195.62,548.73,100.17,"2,719.42","9,596.66"
1999,1,"1,363.04",247.09,186.97,576.54,"1,784.48","1,222.07",757.45,128.33,450.74,89.15,"2,200.88","9,006.75"
1999,2,"1,269.91",590.83,254.78,602.92,"1,799.63","1,192.18",924.52,168.79,597.5,158.45,"3,054.98","10,614.49"
1999,3,"1,625.91",523.4,221.76,650.88,"1,915.06","1,348.24",975.71,199.11,654.13,121.53,"3,675.67","11,911.40"
1999,4,"1,360.05",481.33,347.45,639.14,"1,712.47","1,022.88",460.05,168.02,600.42,83.95,"3,278.53","10,154.31"
1999,5,"1,244.63",597.88,219.38,540.79,"1,746.04","1,042.46",515.92,195.63,549.11,199.93,"2,997.88","9,849.65"
1999,6,"1,473.36",708.26,314.6,500.35,"1,869.14","1,227.22",766.67,225.11,994.33,161.37,"3,727.88","11,968.29"
1999,7,"1,470.89",922.96,263.11,421.24,"1,744.81","1,063.72",613.02,125.32,481.67,188.95,"3,105.25","10,400.94"
1999,8,"1,430.84",434.56,278.05,438.58,"1,595.86","1,033.84",619.5,142.1,412.23,179.41,"2,912.60","9,477.58"
1999,9,"1,295.14",427.58,174.24,387.5,"1,784.31","1,307.73",650.63,269.91,555.24,104.6,"3,154.41","10,111.30"
1999,10,"1,537.41",324.28,141.88,493.73,"1,731.52","1,117.56",658.66,268.92,438.19,90.68,"2,786.45","9,589.28"
1999,11,"1,555.51",209.15,178.36,495.66,"1,801.27","1,134.24",968.72,215.22,559.72,79.59,"2,662.61","9,860.06"
1999,12,"1,387.49",305.64,181.39,404.65,"1,714.05","1,063.45","1,109.06",183.63,445.88,112.26,"2,726.32","9,633.83"
2000,1,967.56,367.36,170.69,408.33,"1,677.75",833.97,815.22,110.43,965.55,123.97,"2,683.42","9,124.26"
2000,2,"1,710.59",439.87,210.11,511.63,"1,707.76",881.7,"1,190.46",201.05,60.25,106.17,"3,693.33","10,712.92"
2000,3,"1,687.46",607.93,186.66,591.54,"1,822.91",901.61,"1,130.85",217.61,"1,045.01",181.21,"3,513.93","11,886.71"
2000,4,"1,281.79",654.6,219.5,483.61,"1,606.99",699.3,728.22,189.67,400.28,150.71,"3,033.54","9,448.21"
2000,5,"1,469.57",510.91,291.25,658.9,"1,969.45","1,199.07",683.32,171.81,504.2,189.16,"5,026.17","12,673.81"
2000,6,"1,831.89",387.45,205.19,705.37,"1,853.49","1,004.97",17.9,181.67,704.29,250.24,"4,854.70","11,997.16"
2000,7,"1,908.90",424.81,190.02,517.98,"1,914.23",919.01,700.38,168.74,285.72,117.88,"3,762.42","10,910.06"
2000,8,"1,715.11",406.77,216.64,499.84,"2,333.29","1,013.16",817.02,155.34,529.7,185.74,"3,850.31","11,722.91"
2000,9,"1,009.34",472.18,179.39,461.7,"2,168.62",850.95,807.04,161.9,572.64,178.97,"3,323.30","10,186.03"
2000,10,"1,706.32",416.11,334.2,763.4,"2,392.14",959.88,829.09,200.48,411.68,114.55,"3,808.88","11,936.74"
2000,11,"1,635.30",486.98,326.06,855.8,"2,657.94","1,071.01",967.57,208.73,582.92,150.51,"4,072.08","13,014.90"
2000,12,"1,731.40",402.43,273.91,834.54,"2,081.53",757.48,620.65,175.98,504.18,95.02,"3,436.25","10,913.36"
2001,1,"1,746.34",531.42,349.96,848.36,"2,589.41","1,147.16",997.78,172.59,527.99,144.77,"4,481.19","13,536.97"
2001,2,"1,827.42",466.37,253.43,"1,018.01","2,400.81",842.33,792.11,142.44,658.01,291.4,"5,435.41","14,127.74"
2001,3,"1,997.09",567.65,305.94,964.99,"2,194.91",950.48,870.3,176.68,546.05,260.6,"5,333.86","14,168.56"
2001,4,"1,462.67",573.93,359.51,755.87,"2,263.31",847.7,587.51,208.35,390.69,124.13,"3,836.95","11,410.62"
2001,5,"1,555.33",351.31,375.3,855.39,"2,842.64","1,175.24",802.84,240.47,633.14,99.07,"4,488.30","13,419.03"
2001,6,"1,619.79",437.12,368.2,679.87,"2,414.84","1,069.48",766.9,164.73,883.75,144.59,"4,385.01","12,934.28"
2001,7,"1,508.57",341.33,305.89,611.06,"2,678.27","1,155.46",835.61,263.67,647.7,103.74,"6,399.15","14,850.46"
2001,8,704.89,349.07,266.53,"1,464.37","2,618.48","1,229.10",673.88,188.2,491.2,122.14,"4,453.73","12,561.59"
2001,9,559.21,299.84,216.57,651.82,"2,313.05","1,149.95",490.35,215.52,341.18,157.08,"4,057.31","10,451.87"
2001,10,823.77,376.51,228.68,924.96,"2,474.66","1,381.80",534.82,167.32,492.88,132.95,"4,133.31","11,671.65"
2001,11,"1,444.79",465.89,224.34,950.19,"2,460.78","1,302.59",603.49,192.47,840.77,178.34,"3,938.02","12,601.68"
