DIRECT IMPORTS: SELECTED COUNTRIES OF ORIGIN,,,,,,,,,,,,,,
(shillings million),,,,,,,,,,,,,,
Year,Month,U.K,U.S.A,GERMANY,ITALY,U.A.E,S.ARABIA,FRANCE,INDIA,S.AFRICA,JAPAN,CHINA,OTHERS,TOTAL
1998,1,"1,870.74","1,272.85","1,177.53",543.27,"2,873.19","1,169.09",846.73,598,"1,229.24","1,058.60",,"3,994.78","16,634.02"
1998,2,"1,725.03",689.02,948.03,431.98,"1,918.77","1,212.88",584.5,516.73,"1,224.17","1,056.75",,"5,257.78","15,565.64"
1998,3,"1,986.62","2,800.43",807.07,398.78,623.42,"1,119.07",698.27,553.83,"1,282.51","1,332.39",,"5,932.69","17,535.08"
1998,4,"1,581.62","2,069.71",700.44,342.3,"1,241.31",593.97,"1,066.45",905.7,"1,247.19","1,218.98",,"5,130.91","16,098.58"
1998,5,"1,835.51","3,737.40",732.49,407.82,779.28,726.28,392.69,695.13,942.34,"1,197.72",,"5,174.89","16,621.55"
1998,6,"1,768.47",878.81,"1,121.97",504.24,"2,438.25",317.9,639.38,851.81,"1,325.84","1,125.42",,"5,609.27","16,581.36"
1998,7,"2,502.97",908.42,852.56,344.77,"1,282.04",663.02,855.5,758.53,"1,502.08","1,171.46",,"6,651.66","17,493.01"
1998,8,"2,282.32","1,038.67",916.81,515.93,841.95,704.81,539.19,801.07,"1,029.45",910.75,,"5,942.04","15,522.99"
1998,9,"1,957.57",375.01,956.68,408.45,"1,332.60","1,023.93",668.96,824.66,972.89,"2,470.29",,"5,958.31","16,949.35"
1998,10,"2,648.24","1,297.00",854.71,423.52,"2,104.96","1,162.03",446.89,820.11,"1,360.29","1,758.27",,"4,294.05","17,170.07"
1998,11,"2,248.56",844.37,806.97,389.25,719.44,719.75,609.82,662,"1,117.76","1,009.28",,"4,692.45","13,819.65"
1998,12,"2,074.01",596.13,"1,271.40",397.29,"1,657.35","2,975.91",681.24,662.79,997.83,"1,395.68",,"5,336.31","18,045.94"
1999,1,"1,712.33",952.68,909.09,324.36,959.71,852.08,474.98,771.57,852.08,"1,282.62",,"4,361.40","13,452.90"
1999,2,"2,488.50","4,268.89",630.66,248.12,691.74,"1,379.85",360.12,738.81,"1,379.85","1,003.21",,"4,131.89","17,321.64"
1999,3,"1,885.29",521.86,"2,227.59",445.02,"1,786.49","1,389.99",409.54,704.48,"1,389.99","1,311.58",,"5,913.66","17,985.49"
1999,4,"1,896.40","1,050.47",692.12,331.81,458.22,"1,620.36",383.38,835.27,"1,620.36","1,144.52",,"5,705.99","15,738.90"
1999,5,"1,461.36",502.44,"1,090.54",316.91,314.51,"1,243.35",574.18,693.66,"1,243.35","1,054.01",,"6,288.44","14,782.75"
1999,6,"1,815.31",509.31,673.03,665.15,312.56,"1,408.87",804.7,704.69,"1,408.87","1,005.66",,"4,835.30","14,143.45"
1999,7,"2,311.40",513.01,943.61,518.12,318.72,"1,737.72",565.53,724.77,"1,737.72","1,446.55",,"5,140.69","15,957.84"
1999,8,"1,588.57","1,490.53",859.29,607.41,"1,955.38","1,279.06",455.91,797.57,"1,279.06","1,266.21",,"3,815.52","15,394.51"
1999,9,"1,676.88","1,136.80",700.11,281.23,401.32,"2,107.14",795.2,774.45,"2,107.14","1,484.73",,"5,954.32","17,419.32"
1999,10,"1,628.19",718.85,492.21,309.07,"1,601.64",939.27,568.5,672.57,939.27,"1,443.68",,"4,665.12","13,978.37"
1999,11,"2,865.89",693.3,835.11,435.19,"2,851.04","1,276.77",934.02,836.54,"1,276.77","1,521.52",,"7,255.31","20,781.46"
1999,12,"1,794.22",831.61,"1,156.63",332.83,"2,361.79","1,900.23",411.83,740.82,"1,900.23","1,383.79",,"4,700.88","17,514.86"
2000,1,"1,852.85",868.08,644.17,385.93,"4,281.07",88.27,435.33,815.92,"1,337.17",843.56,,"5,644.85","17,197.20"
2000,2,"1,419.10","1,185.27",940.83,337.32,"2,194.64","1,826.59",767.61,535.45,"1,047.62",903.15,,"5,202.57","16,360.15"
2000,3,"1,896.75","1,068.77",859.54,294.23,"3,210.99","3,878.42",437.31,943.19,"1,131.17",864.15,,"6,956.94","21,541.46"
2000,4,"2,100.39",837.98,577,671.47,"3,357.10",293.24,692.23,727.64,845.79,871.48,,"4,698.47","15,672.79"
2000,5,"3,150.59",850.32,"1,112.71",379.75,"2,156.65",591.16,705.02,109,"1,009.04","1,929.18",,"8,881.30","20,874.72"
2000,6,"2,046.64",306.05,586.58,704.17,"3,089.22",440.5,673.81,881.86,"1,055.66","1,214.72",,"8,871.70","19,870.91"
2000,7,"2,320.71","1,315.27",520.99,932.53,"5,778.52","3,136.76",747.56,858.43,"1,283.27","1,125.67",,"5,332.33","23,352.04"
2000,8,"2,669.79",560.37,553,829.88,"6,293.85",365.01,897.15,825.1,"2,028.89","1,428.88",,"8,058.58","24,510.50"
2000,9,"1,851.62",961.03,702.66,436.71,"4,215.93",900.67,504.63,809.32,"1,755.24",819.5,,"8,287.99","21,245.30"
2000,10,"2,283.85",828.91,517.89,774.04,"5,264.69","2,199.41",866.33,"1,040.07","1,624.24",904.38,,"6,823.86","23,127.67"
2000,11,"2,274.38",617.31,"1,040.99",515.96,"6,296.56",977.66,984.25,904.15,"1,967.97","1,066.23",,"9,871.69","26,517.15"
2000,12,"1,269.09",684.32,657.43,943.67,"2,072.60",306.78,585.86,712.86,"1,499.52",543.5,,"8,258.37","17,534.00"
2001,1,"1,868.15","1,001.11","1,252.24",578.28,"2,749.31","1,191.83","1,004.74","1,068.43","1,542.36","1,164.47",657.79,"6,662.02","20,740.73"
2001,2,"2,166.86","1,118.44","1,068.69",721.54,"3,502.56","2,043.21",705.54,807.31,258.15,716.67,377.89,"7,105.43","20,592.29"
