3.3 INTERNATIONAL TRADE ( Within Africa),,,,,,,,,
,,,,,,,,,
 IMPORTS FROM AFRICAN COUNTRIES,,,,,,,,,
(Shillings million),,,,,,,,,
Year,Month,UGANDA,TANZANIA,ZAMBIA,EGYPT,South AFRICA,ZIMBABWE,Other,Total
1998,1,2.06,38.63,12.86,15.98,"1,229.24",30.35,109.02,"1,438.14"
1998,2,3.52,24.91,7.54,17.19,"1,224.17",141.93,65.47,"1,484.73"
1998,3,5.72,78.63,18.05,17.51,"1,282.51",45.82,25.73,"1,473.97"
1998,4,5.43,32.93,13.95,9.21,"1,247.19",12.15,67.98,"1,388.83"
1998,5,11.65,38.63,1.99,15.8,942.34,15.7,26.29,"1,052.42"
1998,6,5.31,31.51,4.87,51.67,"1,325.84",59.08,94.96,"1,573.24"
1998,7,8.15,21.64,21.64,28.61,"1,502.08",70.01,253.09,"1,905.21"
1998,8,0.38,47.23,11.96,5.46,"1,029.45",24,34.89,"1,153.38"
1998,9,2.2,55.82,20.83,10.43,972.89,18.63,81.12,"1,161.93"
1998,10,5.14,54.53,12.72,11.48,"1,360.29",37.53,78.36,"1,560.05"
1998,11,8.56,61.45,0.52,8.82,"1,117.76",24.63,188.31,"1,410.05"
1998,12,1.69,105.18, -   ,51.04,997.83,35.91,310.35,"1,502.00"
1999,1,7.29,26.99,3.87,12.93,852.08,33.22,84.31,"1,020.69"
1999,2,12.56,38.74,10.74,302.59,"1,379.85",22.17,153.71,"1,920.36"
1999,3,23.88,66.74,15.13,22.34,"1,389.99",20.31,371.99,"1,910.38"
1999,4,12.59,42.34,8.81,111,"1,620.36",15.3,386.48,"2,196.88"
1999,5,4.65,22.19,94.63,90.79,"1,243.35",10.46,280.18,"1,746.24"
1999,6,29.18,47.58,21.1,125.02,"1,408.87",24.88,133.17,"1,789.80"
1999,7,28.33,32.56,9.29,169.79,"1,737.72",47.3,63.59,"2,088.58"
1999,8,81.81,32.94,10.16,61.01,"1,279.06",15.65,145.09,"1,625.71"
1999,9,100.72,41.16,1.1,143.73,"2,107.14",44.08,266.75,"2,704.68"
1999,10,2.55,33.01,5.74,101.82,939.27,50.85,107.05,"1,240.29"
1999,11,2.76,44.02,16.01,98.44,"1,276.77",30.35,128.38,"1,596.73"
1999,12,0.34,51.79,18.36,133.39,"1,900.23",58.47,84.67,"2,247.24"
2000,1,36.76,30.57,13.39,89.46,"1,337.17",63.94,83.95,"1,655.25"
2000,2,25.67,31.32,18.78,29.94,"1,047.62",40.47,82.23,"1,276.03"
2000,3,26.62,75.11,30.47,203.61,"1,131.17",48.08,91.97,"1,607.03"
2000,4,9.29,30.16,5.91,212.36,845.79,20.1,38.94,"1,162.55"
2000,5,26.29,64.32,17.51,255.27,"1,009.04",53.12,104.64,"1,530.20"
2000,6,46.69,76.12,23.81,139.11,"1,055.66",48.85,71.28,"1,461.53"
2000,7,35.75,54.1,9.32,137.21,"1,283.27",88.31,223.4,"1,831.36"
2000,8,39.82,81.37,17.29,64.73,"2,028.89",27.9,206.91,"2,466.91"
2000,9,36.67,113.37,65.48,108.64,"1,755.24",42.48,127.79,"2,249.68"
2000,10,40.25,181.96,23.96,127.04,"1,624.24",46.94,469.38,"2,513.76"
2000,11,100.06,54.58,66.18,65.78,"1,967.97",97.31,163.79,"2,515.67"
2000,12,91.51,134.76,18.83,164.16,"1,499.52",55.97,330.64,"2,295.38"
2001,1,85.07,43.94,35.41,135.71,"1,542.36",148.73,641.21,"2,632.44"
2001,2,56.22,96.68,36.95,243.91,258.15,120.57,"1,295.24","2,107.72"
2001,3,11.55,28.53,58.68,97.18,409.26,176.19,"1,394.59","2,175.99"
2001,4,7.84,32.03,203.29,452.81,321.25,39.53,"1,317.18","2,373.94"
2001,5,23.76,31.11,33.43,163.9,618.85,51.59,"1,324.19","2,246.84"
2001,6,15.91,17.19,185.58,246.1,435.29,72.35,"1,336.08","2,308.49"
2001,7,24.98,68.04,36.87,379,633.12,104.57,"1,394.69","2,641.26"
2001,8,29.88,63.83,145.18,445.66,603.63,38.42,"1,535.02","2,861.63"
2001,9,29.9,60.45,38.7,270.38,387.72,57.74,740.31,"1,585.20"
2001,10,143.1,53.92,65.61,216.04,"1,387.82",70.53,"1,801.21","3,738.21"
2001,11,38.95,35.16,77.76,310.86,624.51,129.97,"1,301.92","2,519.13"
2001,12,26.31,59.41,24.07,199.66,508.98,104.35,"2,149.04","3,071.81"
2002,1,35.44,58.12,45.24,226.22,422.18,47.93,"1,279.31","2,114.44"
2002,2,15.64,76.28,9.37,298.79,411.55,35.84,374.82,"1,222.29"
2002,3,82.69,95.02,9.16,220.86,513.85,63.46,581.69,"1,566.72"
2002,4,16.24,52.59,27.8,215.33,530.71,53.84,175.82,"1,072.33"
2002,5,10.19,47.42,34.01,260.22,"1,467.92",53.1,242.17,"2,115.02"
2002,6,12.97,56.78,39.3,249.06,"1,144.94",13.66,199.1,"1,715.81"
2002,7,75.9,67.03,32.46,261.04,"1,407.86",79.13,290.23,"2,213.65"
2002,8,212.91,64.71,35.82,190.94,"1,463.45",46.9,620.75,"2,635.48"
2002,9,9.9,70.07,39.64,188.3,"1,651.12",57.8,390.83,"2,407.65"
2002,10,27.78,89.28,25.89,235.24,"2,282.82",949.72,354.53,"3,965.27"
2002,11,148.58,77.63,16.5,242.94,"1,570.11",51.71,497.7,"2,605.18"
2002,12,16.19,47.75,29.39,276.44,"1,687.61",57.67,591.72,"2,706.77"
2003,1,285.58,122.1,20.38,411.9,"1,800.51",58.78,451.07,"3,150.30"
2003,2,80.62,137.52,25.41,192.71,"1,944.95",51.88,480.07,"2,913.17"
2003,3,158.51,121.3,44.41,479.49,"1,438.98",34.51,386.6,"2,663.80"
2003,4,54.3,84.2,33.42,513.02,"1,759.64",40.87,182.94,"2,668.39"
2003,5,111.85,105.18,28.22,539.91,"2,247.86",42.11,255.71,"3,330.84"
2003,6,44.4,88.71,23.14,450.58,"1,607.99",60.25,400.81,"2,675.88"
2003,7,112.01,138.14,25.03,621.75,"2,462.94",97.31,383.78,"3,840.96"
2003,8,53.99,118.5,66.32,292.9,"1,692.44",32.96,219.42,"2,476.54"
2003,9,26.19,132.95,16.29,408.38,"2,117.44",43.63,474.21,"3,219.08"
2003,10,43.33,120.16,28.55,414.55,"2,538.88",931.06,546.54,"4,623.07"
2003,11,18.73,90.1,40.41,288.51,"1,608.57",34.55,810.69,"2,891.57"
2003,12,33.19,108.76,37.97,241.71,"2,083.24",65.19,275.4,"2,845.47"
2004,1,39.29,128.17,34.95,398.38,"2,181.85",39.5,427.92,"3,250.06"
2004,2,26.59,96.13,77.9,483.13,"1,819.47",27.28,284.36,"2,814.85"
2004,3,107.28,119.67,76.2,737,"3,044.71",44.48,958.08,"5,087.42"
2004,4,56.88,105.8,82.77,"1,103.94","2,101.68",24.01,"1,242.24","4,717.33"
2004,5,33.55,87.86,42.16,456.96,"3,176.01",39.83,359.98,"4,196.34"
2004,6,45.22,102.4,39.93,732.91,"2,789.36",54.55,380.92,"4,145.29"
